-1.000e-01,-1.618e+00
-9.000e-02,-1.370e+00
-8.000e-02,-1.146e+00
-7.000e-02,-9.438e-01
-6.000e-02,-7.621e-01
-5.000e-02,-5.987e-01
-4.000e-02,-4.518e-01
-3.000e-02,-3.199e-01
-2.000e-02,-2.014e-01
-1.000e-02,-9.517e-02
-1.041e-17,0.000e+00
1.000e-02,8.516e-02
2.000e-02,1.613e-01
3.000e-02,2.292e-01
4.000e-02,2.897e-01
5.000e-02,3.435e-01
6.000e-02,3.912e-01
7.000e-02,4.334e-01
8.000e-02,4.707e-01
9.000e-02,5.034e-01
1.000e-01,5.321e-01
1.100e-01,5.571e-01
1.200e-01,5.788e-01
1.300e-01,5.975e-01
1.400e-01,6.134e-01
1.500e-01,6.269e-01
1.600e-01,6.381e-01
1.700e-01,6.473e-01
1.800e-01,6.547e-01
1.900e-01,6.604e-01
2.000e-01,6.647e-01
2.100e-01,6.676e-01
2.200e-01,6.692e-01
2.300e-01,6.698e-01
2.400e-01,6.693e-01
2.500e-01,6.679e-01
2.600e-01,6.657e-01
2.700e-01,6.628e-01
2.800e-01,6.592e-01
2.900e-01,6.550e-01
3.000e-01,6.502e-01
3.100e-01,6.450e-01
3.200e-01,6.393e-01
3.300e-01,6.331e-01
3.400e-01,6.266e-01
3.500e-01,6.198e-01
3.600e-01,6.127e-01
3.700e-01,6.053e-01
3.800e-01,5.976e-01
3.900e-01,5.898e-01
4.000e-01,5.817e-01
4.100e-01,5.734e-01
4.200e-01,5.650e-01
4.300e-01,5.565e-01
4.400e-01,5.477e-01
4.500e-01,5.389e-01
4.600e-01,5.300e-01
4.700e-01,5.209e-01
4.800e-01,5.118e-01
4.900e-01,5.026e-01
5.000e-01,4.933e-01
5.100e-01,4.839e-01
5.200e-01,4.745e-01
5.300e-01,4.650e-01
5.400e-01,4.555e-01
5.500e-01,4.459e-01
5.600e-01,4.363e-01
5.700e-01,4.267e-01
5.800e-01,4.170e-01
5.900e-01,4.073e-01
6.000e-01,3.975e-01
6.100e-01,3.878e-01
6.200e-01,3.780e-01
6.300e-01,3.682e-01
6.400e-01,3.584e-01
6.500e-01,3.485e-01
6.600e-01,3.387e-01
6.700e-01,3.288e-01
6.800e-01,3.189e-01
6.900e-01,3.090e-01
7.000e-01,2.991e-01
7.100e-01,2.892e-01
7.200e-01,2.793e-01
7.300e-01,2.694e-01
7.400e-01,2.594e-01
7.500e-01,2.495e-01
7.600e-01,2.395e-01
7.700e-01,2.296e-01
7.800e-01,2.196e-01
7.900e-01,2.097e-01
8.000e-01,1.997e-01
8.100e-01,1.897e-01
8.200e-01,1.798e-01
8.300e-01,1.698e-01
8.400e-01,1.598e-01
8.500e-01,1.498e-01
8.600e-01,1.399e-01
8.700e-01,1.299e-01
8.800e-01,1.199e-01
8.900e-01,1.099e-01
9.000e-01,9.992e-02
9.100e-01,8.993e-02
9.200e-01,7.994e-02
9.300e-01,6.995e-02
9.400e-01,5.996e-02
9.500e-01,4.997e-02
9.600e-01,3.998e-02
9.700e-01,2.998e-02
9.800e-01,1.999e-02
9.900e-01,9.995e-03
1.000e+00,5.889e-18
1.010e+00,-9.995e-03
1.020e+00,-1.999e-02
